DBN,Category,Total Enrollment
26Q205,English Language Learners,14.0
26Q205,Poverty,76.0
26Q205,Reside in temporary housing,6.0
26Q205,Students with Disabilities,48.0
26Q213,All Students,381.0
26Q213,Attend school outside district of residence,17.0
26Q216,All Students,1398.0
26Q216,Attend school outside district of residence,573.0
26Q216,English Language Learners,117.0
26Q216,Poverty,1398.0
26Q216,Reside in temporary housing,88.0
26Q216,Students with Disabilities,134.0
26Q221,All Students,614.0
26Q221,Attend school outside district of residence,10.0
26Q221,English Language Learners,33.0
26Q221,Poverty,243.0
26Q221,Reside in temporary housing,
26Q221,Students with Disabilities,79.0
26Q266,Attend school outside district of residence,119.0
26Q266,Poverty,316.0
26Q266,Reside in temporary housing,6.0
26Q266,Students with Disabilities,108.0
27Q042,All Students,653.0
27Q042,Attend school outside district of residence,12.0
27Q042,English Language Learners,29.0
27Q042,Poverty,600.0
27Q042,Reside in temporary housing,65.0
27Q042,Students with Disabilities,185.0
27Q043,All Students,915.0
27Q043,Attend school outside district of residence,33.0
27Q043,English Language Learners,84.0
27Q043,Poverty,806.0
27Q043,Reside in temporary housing,126.0
27Q043,Students with Disabilities,202.0
27Q045,All Students,365.0
27Q045,Attend school outside district of residence,29.0
27Q045,English Language Learners,31.0
27Q045,Poverty,327.0
27Q045,Reside in temporary housing,68.0
27Q045,Students with Disabilities,70.0
27Q047,All Students,200.0
27Q047,Attend school outside district of residence,
27Q047,English Language Learners,
27Q047,Poverty,65.0
27Q047,Reside in temporary housing,
27Q047,Students with Disabilities,54.0
27Q051,All Students,215.0
27Q051,Attend school outside district of residence,
27Q062,Students with Disabilities,87.0
27Q051,English Language Learners,58.0
27Q051,Poverty,181.0
27Q051,Reside in temporary housing,8.0
27Q051,Students with Disabilities,22.0
27Q053,All Students,317.0
27Q053,Attend school outside district of residence,6.0
27Q053,English Language Learners,48.0
27Q053,Poverty,317.0
27Q053,Reside in temporary housing,46.0
27Q108,English Language Learners,86.0
27Q053,Students with Disabilities,116.0
27Q056,All Students,407.0
27Q056,Attend school outside district of residence,21.0
27Q056,English Language Learners,82.0
27Q056,Poverty,349.0
27Q056,Reside in temporary housing,38.0
27Q056,Students with Disabilities,65.0
27Q060,All Students,1153.0
27Q060,Attend school outside district of residence,28.0
27Q060,English Language Learners,145.0
27Q060,Poverty,981.0
27Q060,Reside in temporary housing,81.0
27Q060,Students with Disabilities,180.0
27Q062,All Students,907.0
27Q062,Attend school outside district of residence,15.0
27Q062,English Language Learners,151.0
27Q062,Poverty,907.0
27Q063,All Students,1337.0
27Q063,Attend school outside district of residence,37.0
27Q063,English Language Learners,170.0
27Q063,Poverty,1123.0
27Q063,Reside in temporary housing,39.0
27Q063,Students with Disabilities,198.0
27Q064,All Students,664.0
27Q064,Attend school outside district of residence,12.0
27Q064,English Language Learners,115.0
27Q064,Poverty,664.0
27Q064,Reside in temporary housing,14.0
27Q064,Students with Disabilities,64.0
27Q065,All Students,495.0
27Q065,Poverty,495.0
27Q065,Reside in temporary housing,14.0
27Q108,Attend school outside district of residence,32.0
27Q065,Students with Disabilities,70.0
27Q066,All Students,504.0
27Q066,Attend school outside district of residence,35.0
27Q066,English Language Learners,113.0
27Q066,Poverty,449.0
27Q066,Reside in temporary housing,34.0
27Q066,Students with Disabilities,132.0
27Q090,All Students,811.0
27Q090,Attend school outside district of residence,18.0
27Q090,English Language Learners,132.0
29Q118,English Language Learners,22.0
27Q090,Poverty,729.0
27Q090,Reside in temporary housing,53.0
27Q090,Students with Disabilities,146.0
27Q096,All Students,272.0
27Q096,Attend school outside district of residence,7.0
27Q096,English Language Learners,32.0
27Q096,Poverty,224.0
27Q096,Reside in temporary housing,9.0
27Q096,Students with Disabilities,23.0
27Q097,All Students,701.0
27Q097,Attend school outside district of residence,17.0
27Q097,English Language Learners,148.0
27Q097,Poverty,615.0
27Q097,Reside in temporary housing,27.0
30Q084,English Language Learners,37.0
27Q097,Students with Disabilities,113.0
27Q100,All Students,886.0
27Q100,Attend school outside district of residence,33.0
27Q100,English Language Learners,54.0
27Q100,Poverty,886.0
27Q100,Reside in temporary housing,15.0
27Q100,Students with Disabilities,158.0
27Q104,All Students,643.0
27Q104,Attend school outside district of residence,6.0
27Q104,English Language Learners,75.0
27Q104,Poverty,643.0
27Q104,Reside in temporary housing,89.0
27Q104,Students with Disabilities,134.0
27Q108,Reside in temporary housing,101.0
27Q105,All Students,850.0
27Q105,Attend school outside district of residence,8.0
27Q105,English Language Learners,39.0
27Q105,Poverty,850.0
27Q105,Reside in temporary housing,98.0
27Q105,Students with Disabilities,218.0
27Q106,All Students,200.0
27Q106,Attend school outside district of residence,
27Q106,English Language Learners,12.0
27Q106,Poverty,183.0
27Q106,Reside in temporary housing,31.0
27Q106,Students with Disabilities,69.0
27Q108,All Students,1408.0
27Q108,Poverty,1179.0
27Q254,English Language Learners,70.0
27Q108,Students with Disabilities,203.0
27Q114,All Students,640.0
27Q114,Attend school outside district of residence,
27Q114,English Language Learners,
27Q114,Poverty,140.0
27Q114,Reside in temporary housing,12.0
27Q114,Students with Disabilities,150.0
27Q123,All Students,646.0
27Q123,Attend school outside district of residence,55.0
27Q123,English Language Learners,31.0
27Q254,Reside in temporary housing,33.0
27Q123,Poverty,600.0
27Q123,Reside in temporary housing,54.0
27Q123,Students with Disabilities,117.0
27Q282,English Language Learners,19.0
27Q124,All Students,1289.0
27Q124,Attend school outside district of residence,39.0
27Q124,English Language Learners,71.0
27Q124,Poverty,1289.0
27Q124,Reside in temporary housing,67.0
27Q124,Students with Disabilities,164.0
27Q137,All Students,1887.0
27Q137,Attend school outside district of residence,60.0
27Q137,English Language Learners,165.0
27Q137,Poverty,1887.0
27Q137,Reside in temporary housing,49.0
27Q137,Students with Disabilities,266.0
27Q146,All Students,684.0
27Q146,Attend school outside district of residence,6.0
27Q146,English Language Learners,14.0
27Q146,Poverty,331.0
27Q146,Reside in temporary housing,11.0
27Q146,Students with Disabilities,140.0
27Q155,All Students,508.0
27Q155,Attend school outside district of residence,14.0
27Q155,English Language Learners,37.0
27Q155,Poverty,479.0
27Q155,Reside in temporary housing,14.0
27Q155,Students with Disabilities,65.0
27Q183,All Students,568.0
27Q183,Attend school outside district of residence,10.0
27Q183,English Language Learners,25.0
27Q183,Poverty,492.0
27Q183,Reside in temporary housing,52.0
27Q183,Students with Disabilities,171.0
27Q197,All Students,515.0
27Q197,Attend school outside district of residence,10.0
27Q197,English Language Learners,104.0
27Q197,Poverty,457.0
27Q197,Reside in temporary housing,43.0
27Q197,Students with Disabilities,118.0
27Q202,All Students,1065.0
27Q202,Attend school outside district of residence,53.0
27Q202,English Language Learners,84.0
27Q202,Poverty,1065.0
27Q202,Reside in temporary housing,54.0
27Q202,Students with Disabilities,170.0
27Q207,All Students,663.0
27Q207,Attend school outside district of residence,20.0
27Q207,English Language Learners,
27Q207,Poverty,262.0
27Q207,Reside in temporary housing,
27Q207,Students with Disabilities,142.0
27Q210,All Students,1863.0
27Q210,Attend school outside district of residence,77.0
27Q210,English Language Learners,244.0
27Q210,Poverty,1863.0
27Q210,Reside in temporary housing,74.0
27Q210,Students with Disabilities,325.0
27Q223,All Students,577.0
27Q223,Attend school outside district of residence,21.0
27Q223,English Language Learners,27.0
27Q254,Students with Disabilities,81.0
27Q223,Poverty,521.0
27Q223,Reside in temporary housing,41.0
27Q223,Students with Disabilities,114.0
27Q226,All Students,928.0
27Q226,Attend school outside district of residence,46.0
27Q226,English Language Learners,54.0
27Q226,Poverty,928.0
27Q226,Reside in temporary housing,27.0
27Q226,Students with Disabilities,179.0
27Q317,Attend school outside district of residence,7.0
27Q232,All Students,1049.0
27Q232,Attend school outside district of residence,34.0
27Q232,English Language Learners,34.0
27Q232,Poverty,586.0
27Q232,Reside in temporary housing,15.0
27Q232,Students with Disabilities,177.0
27Q253,All Students,533.0
27Q253,Attend school outside district of residence,7.0
27Q253,English Language Learners,154.0
27Q253,Poverty,497.0
27Q253,Reside in temporary housing,68.0
27Q253,Students with Disabilities,108.0
27Q254,All Students,634.0
27Q254,Attend school outside district of residence,16.0
27Q254,Poverty,514.0
27Q262,All Students,238.0
27Q262,Attend school outside district of residence,7.0
27Q262,English Language Learners,
27Q262,Poverty,238.0
27Q262,Reside in temporary housing,
27Q262,Students with Disabilities,36.0
27Q273,All Students,324.0
27Q273,Attend school outside district of residence,11.0
27Q273,English Language Learners,40.0
27Q273,Poverty,313.0
27Q273,Reside in temporary housing,7.0
27Q273,Students with Disabilities,51.0
27Q282,All Students,260.0
27Q282,Attend school outside district of residence,10.0
27Q282,Poverty,260.0
27Q282,Reside in temporary housing,
27Q282,Students with Disabilities,28.0
27Q297,All Students,347.0
27Q297,Attend school outside district of residence,9.0
27Q297,English Language Learners,15.0
27Q297,Poverty,347.0
27Q297,Reside in temporary housing,11.0
27Q297,Students with Disabilities,72.0
27Q306,All Students,426.0
27Q306,Attend school outside district of residence,23.0
27Q306,English Language Learners,59.0
27Q306,Poverty,357.0
27Q306,Reside in temporary housing,25.0
27Q306,Students with Disabilities,82.0
27Q309,All Students,222.0
27Q309,Attend school outside district of residence,
27Q309,English Language Learners,46.0
27Q309,Poverty,176.0
27Q309,Reside in temporary housing,17.0
27Q309,Students with Disabilities,28.0
27Q316,All Students,141.0
27Q316,Attend school outside district of residence,14.0
27Q323,Reside in temporary housing,9.0
27Q316,English Language Learners,19.0
27Q316,Poverty,99.0
27Q316,Students with Disabilities,16.0
27Q317,All Students,436.0
27Q317,Poverty,349.0
27Q317,Reside in temporary housing,44.0
27Q317,Students with Disabilities,86.0
27Q318,All Students,223.0
27Q318,Attend school outside district of residence,
27Q318,English Language Learners,19.0
29Q035,Attend school outside district of residence,11.0
27Q318,Poverty,223.0
27Q318,Reside in temporary housing,22.0
27Q318,Students with Disabilities,78.0
27Q319,All Students,307.0
27Q319,Attend school outside district of residence,7.0
27Q319,English Language Learners,58.0
27Q319,Poverty,307.0
27Q319,Students with Disabilities,71.0
27Q323,All Students,758.0
27Q323,Attend school outside district of residence,110.0
27Q323,Poverty,323.0
27Q323,Students with Disabilities,49.0
27Q333,All Students,465.0
27Q333,Attend school outside district of residence,12.0
27Q333,Poverty,338.0
27Q333,Reside in temporary housing,7.0
27Q333,Students with Disabilities,30.0
27Q362,All Students,488.0
27Q362,Attend school outside district of residence,7.0
27Q362,English Language Learners,108.0
27Q362,Poverty,440.0
27Q362,Reside in temporary housing,53.0
27Q362,Students with Disabilities,99.0
28Q284,Students with Disabilities,27.0
28Q008,All Students,370.0
28Q008,Attend school outside district of residence,36.0
28Q008,English Language Learners,48.0
28Q008,Poverty,370.0
28Q008,Reside in temporary housing,41.0
28Q008,Students with Disabilities,100.0
28Q040,All Students,505.0
28Q040,Attend school outside district of residence,42.0
28Q040,English Language Learners,28.0
28Q040,Poverty,476.0
28Q082,Attend school outside district of residence,37.0
28Q040,Reside in temporary housing,69.0
28Q040,Students with Disabilities,118.0
28Q048,All Students,549.0
28Q048,Attend school outside district of residence,37.0
28Q048,English Language Learners,40.0
28Q048,Poverty,457.0
28Q048,Reside in temporary housing,81.0
28Q048,Students with Disabilities,139.0
28Q050,All Students,730.0
28Q050,Attend school outside district of residence,41.0
28Q050,English Language Learners,113.0
28Q050,Poverty,649.0
28Q050,Reside in temporary housing,64.0
28Q050,Students with Disabilities,134.0
28Q054,All Students,586.0
28Q054,Attend school outside district of residence,24.0
28Q054,English Language Learners,151.0
28Q054,Poverty,586.0
28Q054,Reside in temporary housing,56.0
28Q054,Students with Disabilities,84.0
28Q055,All Students,475.0
28Q055,Attend school outside district of residence,25.0
28Q055,English Language Learners,55.0
28Q055,Poverty,392.0
28Q055,Reside in temporary housing,24.0
28Q055,Students with Disabilities,86.0
28Q680,Reside in temporary housing,7.0
28Q072,All Students,605.0
28Q072,Attend school outside district of residence,128.0
28Q072,English Language Learners,36.0
28Q072,Poverty,605.0
28Q072,Reside in temporary housing,71.0
28Q072,Students with Disabilities,154.0
28Q080,All Students,507.0
28Q080,Attend school outside district of residence,92.0
28Q080,English Language Learners,12.0
28Q080,Poverty,391.0
28Q080,Reside in temporary housing,60.0
28Q080,Students with Disabilities,115.0
28Q082,All Students,643.0
28Q082,Poverty,643.0
28Q082,Reside in temporary housing,43.0
28Q082,Students with Disabilities,89.0
28Q086,All Students,899.0
28Q086,Attend school outside district of residence,45.0
28Q086,English Language Learners,296.0
28Q086,Poverty,899.0
28Q086,Reside in temporary housing,64.0
28Q086,Students with Disabilities,151.0
28Q099,All Students,836.0
28Q099,Attend school outside district of residence,40.0
28Q099,English Language Learners,89.0
28Q099,Poverty,559.0
28Q099,Reside in temporary housing,65.0
28Q099,Students with Disabilities,160.0
28Q101,All Students,615.0
28Q101,Attend school outside district of residence,19.0
28Q101,English Language Learners,29.0
28Q101,Poverty,105.0
28Q101,Reside in temporary housing,
28Q101,Students with Disabilities,60.0
29Q176,Students with Disabilities,72.0
28Q117,All Students,1010.0
28Q117,Attend school outside district of residence,25.0
28Q117,English Language Learners,99.0
28Q117,Poverty,1010.0
28Q117,Reside in temporary housing,72.0
28Q117,Students with Disabilities,169.0
28Q121,All Students,913.0
28Q121,Attend school outside district of residence,94.0
28Q121,English Language Learners,36.0
28Q121,Poverty,718.0
28Q121,Reside in temporary housing,21.0
28Q121,Students with Disabilities,106.0
28Q139,All Students,821.0
28Q139,Attend school outside district of residence,65.0
28Q139,English Language Learners,130.0
28Q139,Poverty,547.0
28Q139,Reside in temporary housing,13.0
28Q139,Students with Disabilities,133.0
28Q140,All Students,489.0
28Q140,Attend school outside district of residence,17.0
28Q140,English Language Learners,19.0
28Q140,Poverty,455.0
28Q140,Reside in temporary housing,61.0
28Q140,Students with Disabilities,91.0
28Q144,All Students,815.0
28Q144,Attend school outside district of residence,11.0
28Q144,English Language Learners,44.0
28Q144,Poverty,173.0
28Q144,Reside in temporary housing,16.0
28Q144,Students with Disabilities,94.0
28Q157,All Students,1509.0
28Q174,Students with Disabilities,74.0
28Q157,Attend school outside district of residence,85.0
28Q157,English Language Learners,135.0
28Q157,Poverty,1509.0
28Q157,Reside in temporary housing,30.0
28Q157,Students with Disabilities,209.0
28Q160,All Students,641.0
28Q160,Attend school outside district of residence,38.0
28Q160,English Language Learners,31.0
28Q160,Poverty,588.0
28Q160,Reside in temporary housing,70.0
28Q160,Students with Disabilities,130.0
28Q161,All Students,674.0
28Q161,Attend school outside district of residence,75.0
28Q161,Poverty,599.0
28Q161,Reside in temporary housing,26.0
28Q161,Students with Disabilities,91.0
28Q167,All Students,373.0
28Q167,Attend school outside district of residence,52.0
28Q167,English Language Learners,12.0
28Q167,Poverty,247.0
28Q167,Reside in temporary housing,11.0
28Q167,Students with Disabilities,74.0
28Q174,All Students,668.0
28Q174,Attend school outside district of residence,12.0
28Q174,English Language Learners,67.0
28Q174,Poverty,235.0
28Q174,Reside in temporary housing,10.0
28Q175,All Students,720.0
28Q175,Attend school outside district of residence,11.0
28Q175,English Language Learners,64.0
28Q175,Poverty,411.0
28Q175,Reside in temporary housing,20.0
28Q175,Students with Disabilities,91.0
28Q182,All Students,897.0
28Q182,Attend school outside district of residence,25.0
28Q182,English Language Learners,302.0
28Q182,Poverty,853.0
28Q182,Reside in temporary housing,61.0
28Q182,Students with Disabilities,142.0
28Q190,All Students,1056.0
28Q312,English Language Learners,
28Q190,Attend school outside district of residence,52.0
28Q190,English Language Learners,86.0
28Q190,Poverty,1056.0
28Q190,Reside in temporary housing,29.0
28Q190,Students with Disabilities,133.0
28Q196,All Students,884.0
28Q196,Attend school outside district of residence,6.0
28Q196,English Language Learners,58.0
28Q196,Poverty,190.0
28Q196,Reside in temporary housing,
28Q196,Students with Disabilities,101.0
28Q206,All Students,571.0
28Q206,Attend school outside district of residence,35.0
28Q206,English Language Learners,142.0
28Q206,Poverty,478.0
28Q206,Reside in temporary housing,26.0
28Q206,Students with Disabilities,49.0
28Q217,All Students,1572.0
28Q217,Attend school outside district of residence,66.0
28Q217,English Language Learners,284.0
28Q217,Poverty,1572.0
28Q217,Reside in temporary housing,116.0
30Q300,Students with Disabilities,11.0
28Q217,Students with Disabilities,237.0
28Q220,All Students,657.0
28Q220,Attend school outside district of residence,40.0
28Q220,English Language Learners,112.0
28Q220,Poverty,483.0
28Q220,Reside in temporary housing,21.0
28Q220,Students with Disabilities,96.0
28Q284,All Students,279.0
28Q284,Attend school outside district of residence,48.0
28Q284,English Language Learners,
28Q284,Poverty,216.0
28Q284,Reside in temporary housing,6.0
30Q002,Attend school outside district of residence,
28Q287,All Students,322.0
28Q287,Attend school outside district of residence,29.0
28Q287,English Language Learners,24.0
28Q287,Poverty,322.0
28Q287,Reside in temporary housing,33.0
28Q287,Students with Disabilities,81.0
28Q303,All Students,160.0
28Q303,English Language Learners,
28Q303,Poverty,31.0
28Q303,Students with Disabilities,14.0
28Q310,All Students,243.0
28Q310,Attend school outside district of residence,42.0
28Q310,English Language Learners,11.0
28Q310,Poverty,216.0
28Q310,Reside in temporary housing,9.0
28Q310,Students with Disabilities,43.0
28Q312,All Students,72.0
28Q312,Attend school outside district of residence,8.0
28Q312,Poverty,68.0
28Q312,Reside in temporary housing,8.0
28Q312,Students with Disabilities,14.0
28Q332,All Students,202.0
28Q332,Attend school outside district of residence,22.0
28Q332,English Language Learners,
28Q680,Students with Disabilities,27.0
28Q332,Poverty,202.0
28Q332,Reside in temporary housing,19.0
28Q332,Students with Disabilities,47.0
28Q349,All Students,75.0
28Q349,Attend school outside district of residence,12.0
28Q349,English Language Learners,22.0
28Q349,Poverty,55.0
28Q349,Reside in temporary housing,6.0
28Q349,Students with Disabilities,10.0
28Q354,All Students,593.0
28Q354,Attend school outside district of residence,60.0
28Q354,English Language Learners,22.0
28Q354,Poverty,491.0
28Q354,Reside in temporary housing,36.0
28Q354,Students with Disabilities,124.0
28Q358,All Students,128.0
28Q358,Attend school outside district of residence,12.0
28Q358,English Language Learners,24.0
28Q358,Poverty,128.0
28Q358,Reside in temporary housing,9.0
28Q358,Students with Disabilities,20.0
29Q015,Reside in temporary housing,32.0
28Q680,All Students,275.0
28Q680,Attend school outside district of residence,155.0
28Q680,English Language Learners,
28Q680,Poverty,181.0
28Q896,All Students,238.0
28Q896,Attend school outside district of residence,111.0
28Q896,English Language Learners,8.0
28Q896,Poverty,238.0
28Q896,Reside in temporary housing,11.0
28Q896,Students with Disabilities,22.0
29Q015,All Students,432.0
29Q015,Attend school outside district of residence,37.0
29Q015,English Language Learners,8.0
29Q015,Poverty,329.0
29Q015,Students with Disabilities,53.0
29Q033,All Students,1053.0
29Q033,Attend school outside district of residence,34.0
29Q033,English Language Learners,159.0
29Q033,Poverty,813.0
29Q033,Reside in temporary housing,18.0
29Q033,Students with Disabilities,114.0
29Q034,All Students,534.0
29Q034,Attend school outside district of residence,6.0
29Q034,English Language Learners,55.0
29Q034,Poverty,447.0
29Q034,Reside in temporary housing,48.0
29Q034,Students with Disabilities,72.0
29Q052,Students with Disabilities,97.0
29Q035,All Students,618.0
29Q035,English Language Learners,92.0
29Q035,Poverty,484.0
29Q035,Reside in temporary housing,36.0
29Q035,Students with Disabilities,96.0
29Q036,All Students,487.0
29Q036,Attend school outside district of residence,38.0
29Q036,English Language Learners,17.0
29Q036,Poverty,487.0
29Q036,Reside in temporary housing,71.0
29Q036,Students with Disabilities,95.0
29Q037,All Students,500.0
29Q037,Attend school outside district of residence,52.0
29Q037,English Language Learners,19.0
29Q037,Poverty,387.0
29Q037,Reside in temporary housing,59.0
29Q037,Students with Disabilities,102.0
29Q038,All Students,218.0
29Q038,Attend school outside district of residence,8.0
29Q038,English Language Learners,
29Q038,Poverty,175.0
29Q038,Reside in temporary housing,6.0
29Q038,Students with Disabilities,44.0
29Q052,All Students,479.0
29Q052,Attend school outside district of residence,36.0
29Q052,English Language Learners,23.0
29Q052,Poverty,479.0
31R007,English Language Learners,9.0
29Q052,Reside in temporary housing,133.0
29Q059,All Students,548.0
29Q059,Attend school outside district of residence,43.0
29Q059,English Language Learners,12.0
29Q059,Poverty,548.0
29Q059,Reside in temporary housing,54.0
29Q059,Students with Disabilities,107.0
29Q095,All Students,1517.0
29Q095,Attend school outside district of residence,75.0
29Q095,English Language Learners,362.0
29Q095,Poverty,1517.0
29Q095,Reside in temporary housing,219.0
29Q095,Students with Disabilities,154.0
29Q118,All Students,494.0
29Q109,All Students,964.0
29Q109,Attend school outside district of residence,22.0
29Q109,English Language Learners,92.0
29Q109,Poverty,964.0
29Q109,Reside in temporary housing,48.0
29Q109,Students with Disabilities,144.0
29Q116,All Students,709.0
29Q116,Attend school outside district of residence,49.0
29Q116,English Language Learners,86.0
29Q195,Attend school outside district of residence,33.0
29Q116,Poverty,709.0
29Q116,Reside in temporary housing,118.0
29Q116,Students with Disabilities,149.0
29Q118,Poverty,494.0
29Q118,Reside in temporary housing,41.0
29Q118,Students with Disabilities,89.0
29Q131,All Students,829.0
29Q131,Attend school outside district of residence,41.0
29Q131,English Language Learners,170.0
29Q195,English Language Learners,10.0
29Q131,Poverty,683.0
29Q131,Reside in temporary housing,88.0
29Q131,Students with Disabilities,92.0
29Q132,All Students,345.0
29Q132,Attend school outside district of residence,29.0
29Q132,English Language Learners,
29Q132,Poverty,287.0
29Q132,Reside in temporary housing,84.0
29Q132,Students with Disabilities,71.0
29Q134,All Students,406.0
29Q134,Attend school outside district of residence,14.0
29Q134,English Language Learners,42.0
29Q259,Reside in temporary housing,7.0
29Q134,Poverty,294.0
29Q134,Reside in temporary housing,26.0
29Q134,Students with Disabilities,83.0
29Q135,All Students,919.0
29Q135,Attend school outside district of residence,19.0
29Q135,English Language Learners,110.0
29Q135,Poverty,919.0
29Q135,Reside in temporary housing,41.0
29Q135,Students with Disabilities,126.0
29Q136,All Students,584.0
29Q136,Attend school outside district of residence,18.0
29Q136,English Language Learners,17.0
30Q092,Reside in temporary housing,13.0
29Q136,Poverty,534.0
29Q136,Reside in temporary housing,47.0
29Q136,Students with Disabilities,107.0
29Q138,All Students,748.0
29Q138,Attend school outside district of residence,28.0
29Q138,English Language Learners,35.0
29Q138,Poverty,553.0
29Q138,Reside in temporary housing,51.0
29Q138,Students with Disabilities,134.0
29Q147,All Students,605.0
29Q147,Attend school outside district of residence,22.0
29Q147,English Language Learners,21.0
29Q259,Students with Disabilities,37.0
29Q147,Poverty,435.0
29Q147,Reside in temporary housing,28.0
29Q147,Students with Disabilities,105.0
29Q156,All Students,273.0
29Q156,Attend school outside district of residence,17.0
29Q156,English Language Learners,12.0
29Q156,Poverty,200.0
29Q156,Reside in temporary housing,26.0
29Q156,Students with Disabilities,38.0
29Q176,All Students,683.0
29Q176,Attend school outside district of residence,31.0
29Q176,English Language Learners,10.0
29Q176,Poverty,501.0
29Q176,Reside in temporary housing,16.0
29Q181,All Students,358.0
29Q181,Attend school outside district of residence,31.0
29Q181,English Language Learners,11.0
29Q181,Poverty,254.0
29Q181,Reside in temporary housing,22.0
29Q181,Students with Disabilities,73.0
29Q192,All Students,508.0
29Q192,Attend school outside district of residence,21.0
29Q192,English Language Learners,23.0
29Q192,Poverty,508.0
29Q192,Reside in temporary housing,40.0
29Q192,Students with Disabilities,103.0
31R023,Reside in temporary housing,38.0
29Q195,All Students,553.0
29Q195,Poverty,465.0
29Q195,Reside in temporary housing,45.0
29Q195,Students with Disabilities,92.0
29Q208,All Students,727.0
29Q208,Attend school outside district of residence,23.0
29Q208,English Language Learners,
29Q208,Poverty,375.0
29Q208,Reside in temporary housing,12.0
29Q208,Students with Disabilities,124.0
29Q238,All Students,1498.0
29Q238,Attend school outside district of residence,117.0
29Q238,English Language Learners,231.0
29Q283,Attend school outside district of residence,14.0
29Q238,Poverty,1498.0
29Q238,Reside in temporary housing,170.0
29Q238,Students with Disabilities,228.0
29Q251,All Students,295.0
29Q251,Attend school outside district of residence,33.0
29Q251,Poverty,215.0
29Q251,Reside in temporary housing,18.0
29Q251,Students with Disabilities,60.0
29Q259,All Students,212.0
29Q259,Attend school outside district of residence,14.0
29Q259,English Language Learners,
29Q259,Poverty,155.0
29Q268,All Students,580.0
29Q268,Attend school outside district of residence,37.0
29Q268,English Language Learners,45.0
29Q268,Poverty,471.0
29Q268,Reside in temporary housing,14.0
29Q268,Students with Disabilities,77.0
29Q270,All Students,660.0
29Q270,Attend school outside district of residence,40.0
29Q270,English Language Learners,
29Q270,Poverty,379.0
29Q270,Reside in temporary housing,7.0
29Q270,Students with Disabilities,97.0
29Q283,All Students,168.0
29Q283,Poverty,122.0
29Q283,Reside in temporary housing,6.0
29Q283,Students with Disabilities,31.0
29Q289,All Students,240.0
29Q289,Attend school outside district of residence,24.0
29Q289,English Language Learners,
29Q289,Poverty,240.0
29Q289,Reside in temporary housing,16.0
29Q289,Students with Disabilities,43.0
29Q295,All Students,530.0
29Q295,Attend school outside district of residence,13.0
29Q295,English Language Learners,61.0
29Q295,Poverty,406.0
29Q295,Students with Disabilities,87.0
29Q327,All Students,248.0
29Q327,Attend school outside district of residence,76.0
29Q327,Poverty,137.0
29Q327,Reside in temporary housing,8.0
29Q327,Students with Disabilities,55.0
29Q355,All Students,395.0
29Q355,Attend school outside district of residence,28.0
29Q355,English Language Learners,9.0
29Q355,Poverty,395.0
29Q355,Reside in temporary housing,65.0
29Q355,Students with Disabilities,99.0
30Q002,English Language Learners,97.0
29Q356,All Students,377.0
29Q356,Attend school outside district of residence,30.0
29Q356,English Language Learners,11.0
29Q356,Poverty,377.0
29Q356,Reside in temporary housing,60.0
29Q356,Students with Disabilities,84.0
29Q360,All Students,61.0
29Q360,Attend school outside district of residence,9.0
29Q360,Poverty,42.0
29Q360,Reside in temporary housing,
29Q360,Students with Disabilities,
30Q002,All Students,593.0
30Q002,Poverty,460.0
30Q002,Reside in temporary housing,13.0
30Q002,Students with Disabilities,95.0
30Q010,All Students,790.0
30Q010,Attend school outside district of residence,42.0
30Q010,English Language Learners,91.0
30Q010,Poverty,790.0
30Q010,Reside in temporary housing,46.0
30Q010,Students with Disabilities,129.0
30Q011,All Students,1178.0
30Q011,Attend school outside district of residence,82.0
30Q011,English Language Learners,299.0
30Q011,Poverty,1178.0
30Q011,Reside in temporary housing,142.0
30Q011,Students with Disabilities,210.0
30Q017,All Students,532.0
30Q017,Attend school outside district of residence,15.0
30Q017,English Language Learners,127.0
30Q017,Poverty,532.0
30Q017,Reside in temporary housing,43.0
30Q017,Students with Disabilities,114.0
30Q069,All Students,1033.0
30Q069,Attend school outside district of residence,25.0
30Q069,English Language Learners,189.0
30Q069,Poverty,1033.0
30Q069,Reside in temporary housing,11.0
30Q069,Students with Disabilities,96.0
30Q070,All Students,870.0
30Q070,Attend school outside district of residence,27.0
30Q070,English Language Learners,201.0
30Q070,Poverty,717.0
30Q070,Reside in temporary housing,22.0
30Q070,Students with Disabilities,123.0
30Q092,Students with Disabilities,151.0
30Q076,All Students,492.0
30Q076,Attend school outside district of residence,28.0
30Q076,English Language Learners,67.0
30Q076,Poverty,492.0
30Q076,Reside in temporary housing,43.0
30Q076,Students with Disabilities,185.0
30Q078,All Students,547.0
30Q078,Attend school outside district of residence,16.0
30Q078,English Language Learners,27.0
30Q078,Poverty,123.0
30Q078,Reside in temporary housing,7.0
30Q078,Students with Disabilities,51.0
30Q084,All Students,286.0
30Q084,Attend school outside district of residence,6.0
30Q084,Poverty,286.0
30Q084,Reside in temporary housing,39.0
30Q084,Students with Disabilities,51.0
30Q085,All Students,533.0
30Q085,Attend school outside district of residence,70.0
30Q085,English Language Learners,52.0
30Q085,Poverty,533.0
30Q085,Reside in temporary housing,28.0
30Q085,Students with Disabilities,62.0
30Q092,All Students,836.0
30Q092,Attend school outside district of residence,57.0
30Q092,English Language Learners,284.0
30Q092,Poverty,836.0
30Q111,All Students,268.0
30Q111,Attend school outside district of residence,20.0
